2026-04-11 08:38:22.2143 INFO App Application starting 
2026-04-17 13:27:25.6652 INFO App Application starting 
2026-04-17 13:27:52.0618 INFO App Application starting 
2026-04-17 13:27:57.1524 INFO App Application starting 
2026-05-11 11:00:56.2000 INFO App Application starting 
2026-05-11 11:13:33.2812 INFO App Application starting 
2026-05-11 11:13:35.3704 INFO DatabaseService Database initialized: C:\Users\User\source\repos\mindofsirius-design\NetworkMonitor\bin\Debug\data\history.db 
2026-05-11 11:15:28.9098 INFO MonitoringScheduler Scheduler stopped 
2026-05-11 11:15:28.9158 INFO App Application exiting 
2026-05-11 11:15:50.6020 INFO App Application starting 
2026-05-11 11:15:51.7150 INFO DatabaseService Database initialized: C:\Users\User\source\repos\mindofsirius-design\NetworkMonitor\bin\Debug\data\history.db 
2026-05-11 11:16:02.8760 INFO MonitoringScheduler Scheduler stopped 
2026-05-11 11:16:02.8760 INFO App Application exiting 
2026-05-11 11:33:02.7402 INFO App Application starting 
2026-05-11 11:33:04.2892 INFO DatabaseService Database initialized: C:\Users\User\source\repos\mindofsirius-design\NetworkMonitor\bin\Debug\data\history.db 
2026-05-11 11:33:42.8462 INFO MonitoringScheduler Scheduler stopped 
2026-05-11 11:33:42.8462 INFO MonitoringScheduler Scheduler started with 1 nodes 
2026-05-11 11:33:42.9572 INFO PingModule Ping 123 (1.1.1.1): Online, 27ms 
2026-05-11 11:33:48.9782 INFO PingModule Ping 123 (1.1.1.1): Online, 29ms 
2026-05-11 11:33:49.5132 INFO PingModule Ping 123 (1.1.1.1): Online, 30ms 
2026-05-11 11:33:49.9522 INFO PingModule Ping 123 (1.1.1.1): Online, 26ms 
2026-05-11 11:33:50.1692 INFO PingModule Ping 123 (1.1.1.1): Online, 25ms 
2026-05-11 11:33:50.1902 INFO PingModule Ping 123 (1.1.1.1): Online, 26ms 
2026-05-11 11:33:50.3442 INFO PingModule Ping 123 (1.1.1.1): Online, 25ms 
2026-05-11 11:33:50.4632 INFO PingModule Ping 123 (1.1.1.1): Online, 25ms 
2026-05-11 11:33:50.5982 INFO PingModule Ping 123 (1.1.1.1): Online, 27ms 
2026-05-11 11:33:50.7352 INFO PingModule Ping 123 (1.1.1.1): Online, 25ms 
2026-05-11 11:33:50.8742 INFO PingModule Ping 123 (1.1.1.1): Online, 26ms 
2026-05-11 11:33:50.9982 INFO PingModule Ping 123 (1.1.1.1): Online, 25ms 
2026-05-11 11:33:51.1312 INFO PingModule Ping 123 (1.1.1.1): Online, 25ms 
2026-05-11 11:33:51.2792 INFO PingModule Ping 123 (1.1.1.1): Online, 24ms 
2026-05-11 11:33:51.4422 INFO PingModule Ping 123 (1.1.1.1): Online, 28ms 
2026-05-11 11:33:51.5592 INFO PingModule Ping 123 (1.1.1.1): Online, 25ms 
2026-05-11 11:33:56.7812 INFO PingModule Ping 123 (1.1.1.1): Online, 25ms 
2026-05-11 11:33:56.9342 INFO PingModule Ping 123 (1.1.1.1): Online, 24ms 
2026-05-11 11:33:57.1432 INFO PingModule Ping 123 (1.1.1.1): Online, 25ms 
2026-05-11 11:33:57.3342 INFO PingModule Ping 123 (1.1.1.1): Online, 27ms 
2026-05-11 11:33:57.3632 INFO PingModule Ping 123 (1.1.1.1): Online, 26ms 
2026-05-11 11:33:57.4692 INFO PingModule Ping 123 (1.1.1.1): Online, 25ms 
2026-05-11 11:33:57.6292 INFO PingModule Ping 123 (1.1.1.1): Online, 27ms 
2026-05-11 11:33:57.7742 INFO PingModule Ping 123 (1.1.1.1): Online, 24ms 
2026-05-11 11:33:57.9292 INFO PingModule Ping 123 (1.1.1.1): Online, 25ms 
2026-05-11 11:33:58.0752 INFO PingModule Ping 123 (1.1.1.1): Online, 24ms 
2026-05-11 11:33:58.2242 INFO PingModule Ping 123 (1.1.1.1): Online, 27ms 
2026-05-11 11:33:58.3832 INFO PingModule Ping 123 (1.1.1.1): Online, 25ms 
